,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
distilbert-base-uncased-True,0.7351158750643585,0.7448126622076965,0.7711707107673371,0.7038240751497877,0.7347614491485246,0.6357444785840733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.768563552444206,0.7317169972330883,0.7442511868729806,0.739440295271346,0.7535604492356751,0.7539810591967672,0.7274539596682886,0.6886491490109329,0.6499953160560902,0.7057797728388294,0.686059461666325,0.6689010208180987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-bart-base-True,0.7451588031056192,0.7461037307850489,0.6876234602512109,0.6890054686525169,0.7042038922146207,0.7436131819934393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.7448884270383984,0.7407856725292136,0.7476830884477267,0.7379394805413623,0.7317826206686482,0.7287150135105142,0.7418382429418876,0.7219540109900188,0.7337449550576679,0.7214571460375553,0.7202451628633298,0.7144966925723663,0.7104601565687352,0.700331030154457,0.691572195639493,0.6917589631250232,0.6854691818276331,0.6782832793548929,0.6921252967351714,0.709056809736721,0.7278017644719467,0.730431833754559,0.7731579318067616,0.6786009712836263,,,,,,,,,,,,,,,,,,,,,,,,
openai-gpt-True,0.7168668830363497,0.6009488047340056,0.5076804207490365,0.48022068599459916,0.5516054070402141,0.5571026704812745,0.5910891233685809,0.656380908422328,0.5747874418490038,0.5872077369724891,0.5604775533832332,0.5116000957516716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-large-4096-finetuned-triviaqa-True,-0.1752967942559246,-0.17710621616195188,-0.18121831080054365,-0.18121831080054365,-0.18333062751868578,-0.18369251189989122,-0.17573105551337112,-0.1883970088555622,-0.1751520405034424,-0.18094219060272976,-0.19020643076158952,-0.18803512447435675,-0.1784813768105326,-0.17616531677081768,-0.1865152100732938,-0.19006167700910734,-0.18564668755840072,-0.18195546687010503,-0.1812316981076941,-0.1838372656523734,-0.18615332569208837,-0.18296874313748032,-0.18644283319705274,-0.18304112001372141,,,,,,,,,,,,,,,,,,,,,,,,
facebook-muppet-roberta-base-True,0.7428421982610441,0.7362959850230142,0.7307050509304971,0.7144436801752158,0.6822007680485122,0.6142818157387895,0.6157019943179768,0.7188910038652673,0.6534693959535528,0.6798181080256115,0.6373243310675744,0.6898712816039185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-bigbird-roberta-large-True,0.7558333603200137,0.7401515588679476,0.7419112933226258,0.7479887008403524,0.7093972631515228,0.7264389041982555,0.7139053533375506,0.6711254286817157,0.6467246215720536,0.7063043906565541,0.7109479198048242,0.7005076180989118,0.7033247090205852,0.6455325559101481,0.6702942775557418,0.7194751757537633,0.6453055686607553,0.6411588126743939,0.6980403643345772,0.6809772198280942,0.6757772285481616,0.6154177582502183,0.6541009963452108,0.7656017331178944,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xxlarge-True,0.7643355040790147,0.7508814245992854,0.6413159944151848,0.6861942798067198,0.7288239575443081,0.7134199603654254,0.727292002939335,0.692459556641779,0.6691647881446416,0.6339330961619564,0.6434802540627292,0.47583019356771783,0.5494468168956687,0.7408813697682218,0.6425893933517843,0.676414216723424,0.7096256489105107,0.7258296214966868,0.7105378964761998,0.7045466897930897,0.6739964789489218,0.6067895871686148,0.5652395819456804,0.5010295002781303,0.5672307640546769,0.7806580801288319,0.6391764514399845,0.6651701398075036,0.6880691895993278,0.7019231592925288,0.6907036898249064,0.7085289284422186,0.6632645599389757,0.6725953744791089,0.5735978509144066,0.5758451437866953,0.5150073493851944,0.7998731846750752,0.6402239196298337,0.6513814842182978,0.6639125800538478,0.6844260346517375,0.6929283360572887,0.6832742681862594,0.6128195129829112,0.6453091146414333,0.6248850338517461,0.7114007599305581
roberta-large-True,0.6149981811936223,0.7427793301563757,0.7427227841473019,0.7459254029614114,0.6434926970782212,0.6809753048271778,0.7346067175223525,0.7097221969519331,0.7201347923367378,0.6826553996549594,0.7319608828427042,0.6889823730365485,0.7196221239326921,0.6481949330368002,0.5821429841371044,0.667003589496189,0.6566405512319433,0.633268223226144,0.5963189966744987,0.610987193626338,0.6558636739601188,0.6620086627990494,0.5906783612278921,0.6176199235393778,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-base-4096-True,-0.18021842184031883,-0.17522441737968347,-0.1815935824888996,-0.1865152100732938,-0.18152120561265847,-0.18036317559280102,-0.18325825064244466,-0.186659963825776,-0.1784813768105326,-0.1778299849243628,-0.17536917113216566,-0.1786261305630148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-True,0.7498055204489029,0.6716796473756788,0.7514665704737534,0.728156885647043,0.7422147798826046,0.6882771370942142,0.6965019429158695,0.6957920834149081,0.6221903179871892,0.6810348801701702,0.6352124339674118,0.5948974751265413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roberta-base-True,0.7426892520878877,0.7388972356459916,0.7550075400404104,0.7346146330869601,0.6772379031675548,0.6739355776375949,0.6947776441058472,0.7380519532438801,0.6578988704546149,0.650652674485196,0.6423261496065197,0.6527483925705485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xlarge-True,0.7644191836105818,0.7511386881528476,0.6460691808730898,0.6812832918594902,0.718853066059891,0.7113822952367211,0.721629570167821,0.7078101255727262,0.6645741893922202,0.6509510143587794,0.6348124565516153,0.48151240371968124,0.49013659772245066,0.7060822267158587,0.6825180478758125,0.6638465300322629,0.6933888390074493,0.6944982239570788,0.698095901265846,0.6957740162235172,0.6031244129629992,0.6324889439644895,0.612063034387595,0.7327585421284699,,,,,,,,,,,,,,,,,,,,,,,,
