,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm
albert-xlarge-v2-True,0.4707674604196591,0.2777448542403214,0.31835984383437604,0.19145560476693108,0.21899057365235178,0.2061156170843449,0.23399551684142442,0.1924851676305666,0.16428411802217296,0.17171193764199089,0.15436902288213944,0.1571777933008827,0.15119363927129814,0.17024036044484775,0.13445931431323288,0.18286576352284528,0.17881465373254993,0.18786826820643532,0.2220526859263883,0.2391219196692362,0.23490079269197178,0.2295859840281355,0.24205667594701705,0.06415725271144518
google-bigbird-roberta-large-True,0.29409691067126886,-0.16251488685967594,0.0397983599978265,0.3711851145602279,0.31536171064010265,0.2955786866659518,0.15855528945354164,0.1485801850526019,0.07514438753561795,0.21446605728903806,0.12265571344192143,0.17532510010625368,0.2368290692592537,0.14939993792321263,0.11115502209357025,0.11696885057198589,0.1077163840265474,0.1687742972420891,0.13243715759519958,0.15418416218402498,0.1457561409340094,0.266088879192325,0.21491831171487358,0.21201664349182484
roberta-large-True,0.1862312806558312,0.1798599561906973,0.16780627709399254,0.1766352452564119,0.139734038148359,0.14148208205107102,0.1572285756264883,0.14038691095780292,0.14861760839685403,0.15174493261362854,0.15604530458867732,0.15191925463413217,0.15106808906604943,0.12813942854816499,0.13813892857395288,0.15150104202603673,0.1438656903498762,0.1508313374104149,0.1521655148436408,0.1598568889503292,0.14995760202160774,0.15435957321689842,0.14165382142278765,0.1643042053383608
allenai-longformer-base-4096-True,-0.02806095230663356,0.03581613574032003,0.03358125390198158,0.030443502294873994,0.010307173672434767,-0.010319537938638311,-0.010617809889105953,-0.0018524450771694044,-0.04564782120051809,-0.04291292778402603,-0.027330259152266917,-0.01965663691771067,,,,,,,,,,,,
roberta-base-True,0.23213303146255027,0.1886313398781155,0.17116372432733976,0.1707458188736696,0.1582583588125113,0.15683729060518745,0.15146496525212114,0.16315806952343656,0.149072236909653,0.13489426733746152,0.13278308020437724,0.1447102289230054,,,,,,,,,,,,
bert-base-multilingual-cased-True,0.312368548411365,-0.0596761274760735,0.2118571137159719,0.2825795231531659,0.3360474270537649,0.2884517463890507,0.2855032571268508,0.21901225059977583,0.23171817410485385,0.2134794336496316,0.26785739496406247,0.134659831420863,,,,,,,,,,,,
facebook-bart-large-True,0.2116833886200345,0.19162031687646783,0.17770527987933857,0.19789238195971903,0.17844093040872808,0.1531622254459285,0.16839334301301492,0.14961149908097995,0.14447074054374937,0.1459415960328743,0.15485566596221423,0.15335330131951663,,,,,,,,,,,,
google-bigbird-roberta-base-True,0.48867100235366423,0.4110985571282866,0.4891062207127363,0.31643654349074135,0.2792462688080761,0.2741422369666505,0.23452741434943533,0.25563405172643255,0.18717938185039903,0.20874737400474336,0.20932365165089253,0.3340838475117602,,,,,,,,,,,,
albert-large-v2-True,0.25362620858626106,0.29700673020496743,0.24151507380805468,0.23821291633374325,0.1761731882310056,0.1400355408540097,0.14738845802240233,0.1718711550023901,0.14806713618924633,0.15527413328785772,0.17121580714315784,0.16709353793152207,0.16120118997955624,0.194268093194655,0.19545926711247075,0.16549143480330128,0.18782364073041097,0.22510848001355863,0.19618790922158647,0.19765874580207804,0.2615425036320983,0.24395139755839107,0.2683570513729697,0.20451904841451785
distilbert-base-cased-True,0.5556433871243196,0.23022717109162563,0.29690073623562296,0.2426097379544001,0.25387705113004605,0.30219524014881094,,,,,,,,,,,,,,,,,,
bert-large-cased-True,0.4737559456198729,0.26020960844014657,-0.0685319735225021,-0.06442440990424021,-0.06447826905847602,-0.03235259413478177,-0.007796022194051108,0.03034098438037875,0.12317559746774469,0.058046750315007854,0.08201853930056294,0.17957871606189976,0.12483082397029518,0.12770907109729268,0.21523061490254022,0.18934918005960877,0.2721228479439447,0.29432992232036803,0.21518392712076692,0.27870267220894307,0.2853012815937551,0.26700508072701495,0.17996719225855318,0.3626950937448419
